"ExtendedID","Subject1Tag","Subject2Tag","RelationshipPath","R","MultipleBirth","IsMz","Subject1LastSurvey","Subject2LastSurvey","RImplicitPass1","RImplicit","RImplicit2004","RImplicitDifference","RExplicit","RExplicitPass1","RPass1","RExplicitOlderSibVersion","RExplicitYoungerSibVersion","GenerationSubject1","GenerationSubject2","Subject1ID","Subject2ID"
157,15700,15900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,2,2,15700,15900
157,15800,15900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,15800,15900
160,16000,16100,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,16000,16100
162,16200,16300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,16200,16300
165,16500,16600,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,16500,16600
168,16800,16900,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,16800,16900
175,17500,17600,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,17500,17600
175,17500,17700,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,17500,17700
175,17600,17700,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,17600,17700
181,18100,18200,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,18100,18200
183,18300,18400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,18300,18400
183,18300,18500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,18300,18500
183,18400,18500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,18400,18500
186,18600,18700,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,18600,18700
190,19000,19100,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,19000,19100
193,19300,19400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,19300,19400
206,20600,20700,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,0.5,2,2,20600,20700
210,21000,21100,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,21000,21100
212,21200,21300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,21200,21300
212,21200,21400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,21200,21400
212,21300,21400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,21300,21400
216,21600,21700,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,21600,21700
219,21900,22000,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,21900,22000
221,22100,22200,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,22100,22200
221,22100,22300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,22100,22300
221,22100,22400,1,0.375,0,0,NA,NA,NA,NA,NA,NA,0.375,0.375,0.375,0.5,0.25,2,2,22100,22400
221,22200,22300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,22200,22300
221,22200,22400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,22200,22400
221,22300,22400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,22300,22400
225,22500,22600,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,22500,22600
231,23100,23200,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,23100,23200
231,23100,23300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,23100,23300
231,23200,23300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,23200,23300
238,23800,23900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,0.5,2,2,23800,23900
238,23800,24000,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,0.5,2,2,23800,24000
238,23800,24100,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,2,2,23800,24100
238,23900,24000,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,23900,24000
238,23900,24100,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,23900,24100
238,24000,24100,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,24000,24100
242,24200,24300,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,24200,24300
245,24500,24600,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,24500,24600
247,24700,24800,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,24700,24800
247,24700,24900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,24700,24900
247,24800,24900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,24800,24900
251,25100,25200,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,25100,25200
254,25400,25500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,25400,25500
256,25600,25700,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,25600,25700
258,25800,25900,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,25800,25900
260,26000,26100,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,26000,26100
262,26200,26300,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,26200,26300
270,27000,27100,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,27000,27100
272,27200,27300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,27200,27300
274,27400,27500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,27400,27500
281,28100,28200,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,28100,28200
283,28300,28400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,28300,28400
283,28300,28500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,28300,28500
283,28400,28500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,28400,28500
287,28700,28800,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,28700,28800
287,28700,28900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,28700,28900
287,28800,28900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,28800,28900
292,29200,29300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,29200,29300
298,29800,29900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,29800,29900
300,30000,30100,1,0.75,4,255,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,2,2,30000,30100
300,30000,30200,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,30000,30200
300,30000,30300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,30000,30300
300,30000,30400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,30000,30400
300,30100,30200,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,30100,30200
300,30100,30300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,30100,30300
300,30100,30400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,30100,30400
300,30200,30300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,30200,30300
300,30200,30400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,30200,30400
300,30300,30400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,30300,30400
307,30700,30800,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,30700,30800
309,30900,31000,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,0.5,2,2,30900,31000
309,30900,31100,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,0.5,2,2,30900,31100
309,31000,31100,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,31000,31100
312,31200,31300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,31200,31300
319,31900,32000,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,31900,32000
321,32100,32200,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,32100,32200
323,32300,32400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,32300,32400
323,32300,32500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,32300,32500
323,32400,32500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,32400,32500
328,32800,32900,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,32800,32900
330,33000,33100,1,0.25,0,0,NA,NA,NA,NA,NA,NA,0.25,0.25,0.25,NA,0.25,2,2,33000,33100
330,33000,33200,1,0.25,0,0,NA,NA,NA,NA,NA,NA,0.25,0.25,0.25,NA,0.25,2,2,33000,33200
330,33100,33200,1,0.25,0,0,NA,NA,NA,NA,NA,NA,0.25,0.25,0.25,0.25,0.25,2,2,33100,33200
334,33400,33500,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,33400,33500
338,33800,33900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,33800,33900
338,33800,34000,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,33800,34000
338,33900,34000,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,33900,34000
341,34100,34200,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,34100,34200
348,34800,34900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,34800,34900
348,34800,35000,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,34800,35000
348,34900,35000,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,0.5,2,2,34900,35000
351,35100,35200,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,35100,35200
353,35300,35400,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,35300,35400
353,35300,35500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,0.5,2,2,35300,35500
353,35400,35500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,35400,35500
357,35700,35800,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,35700,35800
357,35700,35900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,35700,35900
357,35800,35900,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,35800,35900
362,36200,36300,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,2,2,36200,36300
364,36400,36500,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,36400,36500
364,36400,36600,1,0.5,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,36400,36600
