"SubjectTag","SurveyYear","Age","Generation","Gender","InchesTotal","HeightZAgeGender"
122102,2004,22,2,1,68,-0.802683819787775
122103,2010,21,2,1,73,0.86854849185133
122301,2010,18,2,2,64,-0.223470631413025
122302,2010,16,2,1,69,-0.182215286576611
122401,2000,23,2,2,71,2.11816846642826
122402,2002,22,2,1,76,1.82803200984169
122403,2010,22,2,2,63,-0.575684740232358
122501,1996,22,2,1,68,-0.802683819787775
122502,2006,24,2,1,71,0.170937007966158
122601,1996,22,2,1,68,-0.802683819787775
122602,2006,23,2,2,68,1.13322012953912
122701,2000,24,2,1,71,0.170937007966158
122702,2002,24,2,2,65,0.15908362877823
122704,2010,23,2,1,68,-0.719525208115589
123001,2002,23,2,1,67,-1.04278022062297
123002,2006,23,2,1,68,-0.719525208115589
123301,2004,23,2,1,76,1.86651489194348
123302,2010,24,2,1,70,-0.1624455367281
123401,2010,19,2,1,67,-1.00794861868963
123601,2010,17,2,1,63,-2.24697654351403
123801,2002,23,2,1,75,1.5432598794361
123802,2004,23,2,2,68,1.13322012953912
123803,2006,24,2,2,62,-0.935339426475638
123804,2008,23,2,2,66,0.476587904946359
123805,2010,23,2,1,72,0.573494841913946
124103,2010,22,2,1,72,0.512674095026959
124104,2010,20,2,2,62,-0.923451524904423
124401,2006,24,2,2,64,-0.205724056306393
124402,2010,24,2,2,65,0.15908362877823
124403,2010,23,2,2,65,0.148271792649979
124601,2008,23,2,2,60,-1.49330876883192
124602,2010,24,2,1,74,1.17108464204893
125001,2004,24,2,1,72,0.504319552660416
125002,2010,24,2,2,63,-0.570531741391015
125003,2010,19,2,2,61,-1.25620664563822
125101,2004,22,2,1,72,0.512674095026959
125301,2010,22,2,2,70,1.97015674609882
125801,2010,24,2,2,66,0.523891313862852
125802,2010,22,2,2,66,0.515390182481005
125803,2010,21,2,2,61,-1.21185031762877
125804,2008,17,2,1,67,-0.952199077071496
125901,2002,18,2,2,66,0.485083370596015
126101,2010,20,2,2,62,-0.923451524904423
126301,2010,24,2,1,63,-2.4961233495879
126901,2006,24,2,2,64,-0.205724056306393
126902,2004,20,2,1,72,0.49798167713349
127901,2008,24,2,1,69,-0.495828081422358
127902,2008,21,2,1,68,-0.751920568333191
127903,2010,22,2,1,68,-0.802683819787775
128601,2010,21,2,1,74,1.19264230388823
128602,2010,16,2,2,65,0.190460375323854
129001,1996,21,2,1,63,-2.37238962851771
129002,2010,24,2,2,66,0.523891313862852
129301,1996,21,2,1,68,-0.751920568333191
129302,2006,24,2,1,72,0.504319552660416
129303,2008,24,2,1,67,-1.16259317081087
129501,2010,21,2,1,71,0.220360867777522
129502,2010,20,2,1,73,0.826659513885604
129503,2010,18,2,1,73,0.914152765875814
129601,2010,24,2,2,71,2.34792973928596
129701,2002,24,2,1,72,0.504319552660416
129702,2004,23,2,2,67,0.804904017242739
129703,2008,23,2,1,73,0.89674985442133
130501,2010,24,2,1,73,0.837702097354673
130502,2010,18,2,1,74,1.25168609481458
130601,2006,23,2,1,75,1.5432598794361
130602,2010,23,2,1,71,0.250239829406562
130603,2010,20,2,1,70,-0.159373996370738
130801,2002,24,2,1,73,0.837702097354673
130803,2004,24,2,2,65,0.15908362877823
131001,2010,17,2,2,69,1.5000474848019
131201,2002,24,2,1,70,-0.1624455367281
131301,2006,24,2,2,60,-1.66495479664488
131302,2010,17,2,1,72,0.666272755981668
132201,2008,22,2,1,72,0.512674095026959
132301,2010,17,2,1,64,-1.92328217690339
132401,2010,24,2,2,64,-0.205724056306393
132402,2010,22,2,2,64,-0.211993099327904
132403,2010,20,2,1,67,-1.14540750662708
132701,2010,23,2,2,62,-0.836676544239161
132702,2010,16,2,1,70,0.129258968915284
132801,2010,22,2,2,65,0.15169854157655
132802,2010,19,2,1,73,0.886509026076423
134101,2004,24,2,2,63,-0.570531741391015
134103,2010,22,2,1,70,-0.145004862380408
134301,2004,24,2,2,69,1.61831436911672
135201,2004,23,2,2,65,0.148271792649979
135202,2006,24,2,2,66,0.523891313862852
135203,2008,23,2,1,70,-0.0730151831008213
135601,2010,19,2,2,68,1.15518480039189
135602,2010,17,2,2,68,1.15803853743711
135901,2010,23,2,2,59,-1.8216248811283
135902,2010,17,2,2,64,-0.209997252022065
136001,2010,21,2,2,61,-1.21185031762877
136101,2008,24,2,1,68,-0.829210626116616
136201,2010,16,2,2,65,0.190460375323854
137001,2010,18,2,1,73,0.914152765875814
137501,2010,22,2,2,68,1.24277346428991
137502,2010,17,2,2,65,0.132011695342728
137601,1994,19,2,2,71,2.18863827726193
137602,2008,24,2,1,73,0.837702097354673
137603,2010,24,2,1,74,1.17108464204893
137701,2004,24,2,1,70,-0.1624455367281
137702,2010,24,2,1,75,1.50446718674319
137801,2010,19,2,2,64,-0.222753168768175
138101,2006,23,2,1,66,-1.36603523313036
138102,2010,24,2,2,66,0.523891313862852
138103,2010,20,2,2,63,-0.567638466382888
138501,2008,17,2,1,75,1.63735585581357
138801,2008,24,2,1,67,-1.16259317081087
138802,2006,21,2,1,72,0.544454679814426
138803,2006,20,2,1,71,0.169303840381376
138804,2010,23,2,2,67,0.804904017242739
138901,2010,21,2,2,66,0.489423327229364
138902,2010,20,2,1,72,0.49798167713349
139101,2002,24,2,1,73,0.837702097354673
139102,1998,19,2,2,64,-0.222753168768175
139103,2004,24,2,2,64,-0.205724056306393
139401,2004,24,2,1,75,1.50446718674319
139402,2006,24,2,2,67,0.888698998947474
139802,2010,24,2,2,62,-0.935339426475638
139901,2010,22,2,2,64,-0.211993099327904
139902,2010,17,2,2,62,-0.894015146751651
140001,2004,23,2,2,64,-0.180044319646401
140104,2002,21,2,1,65,-1.7242020044439
140107,2004,18,2,1,65,-1.78611386563429
140201,2010,18,2,1,69,-0.435980549879237
140601,2002,24,2,2,68,1.2535066840321
140604,2006,23,2,2,65,0.148271792649979
140606,2008,23,2,2,66,0.476587904946359
140901,2006,22,2,1,68,-0.802683819787775
140902,2010,23,2,1,71,0.250239829406562
141001,2002,22,2,1,71,0.183834616323276
141101,2008,24,2,1,71,0.170937007966158
141201,2006,24,2,1,74,1.17108464204893
141401,2000,24,2,1,69,-0.495828081422358
141402,2000,23,2,2,64,-0.180044319646401
141403,2004,23,2,2,67,0.804904017242739
141404,2006,23,2,2,63,-0.508360431942781
141405,2008,24,2,1,69,-0.495828081422358
141501,2002,24,2,1,72,0.504319552660416
141502,2004,24,2,2,66,0.523891313862852
141503,2004,23,2,2,64,-0.180044319646401
141504,2006,23,2,1,74,1.22000486692871
141505,2006,22,2,1,66,-1.46036277719514
141506,2008,24,2,1,66,-1.49597571550513
141601,2002,23,2,1,67,-1.04278022062297
141602,2002,21,2,1,63,-2.37238962851771
141603,2006,23,2,1,69,-0.396270195608205
141901,2002,21,2,2,62,-0.871595588657143
141902,2008,24,2,1,70,-0.1624455367281
142301,2002,24,2,1,71,0.170937007966158
142302,2002,22,2,1,67,-1.13152329849146
142303,2006,24,2,2,64,-0.205724056306393
142304,2008,24,2,2,67,0.888698998947474
142305,2010,23,2,1,73,0.89674985442133
143501,2010,23,2,2,67,0.804904017242739
143502,2010,21,2,1,71,0.220360867777522
143503,2010,20,2,1,74,1.15533735063772
143601,2006,23,2,2,66,0.476587904946359
143602,2010,23,2,2,62,-0.836676544239161
143603,2010,22,2,1,71,0.183834616323276
143701,2006,23,2,1,69,-0.396270195608205
143702,2010,24,2,2,62,-0.935339426475638
143703,2010,23,2,2,61,-1.16499265653554
143801,2000,23,2,2,63,-0.508360431942781
143802,2010,24,2,2,63,-0.570531741391015
143803,2010,21,2,1,73,0.86854849185133
143901,2010,19,2,1,72,0.570766085282081
144001,2004,23,2,2,64,-0.180044319646401
144002,2006,23,2,1,70,-0.0730151831008213
144003,2008,24,2,2,69,1.61831436911672
144004,2008,22,2,1,72,0.512674095026959
144201,2010,23,2,2,63,-0.508360431942781
144202,2010,16,2,2,66,0.55053829244556
144301,2008,24,2,2,65,0.15908362877823
144302,2010,24,2,2,63,-0.570531741391015
144601,2008,24,2,1,70,-0.1624455367281
144602,2010,21,2,1,70,-0.103732944259383
144603,2010,16,2,1,69,-0.182215286576611
145101,2004,24,2,2,61,-1.30014711156026
145102,2006,24,2,2,60,-1.66495479664488
145103,2008,16,2,2,60,-1.60992921028467
145401,2004,21,2,1,67,-1.0760143803701
145402,2008,23,2,2,64,-0.180044319646401
145501,1994,21,2,2,61,-1.21185031762877
145502,2000,24,2,1,67,-1.16259317081087
145503,2002,24,2,2,62,-0.935339426475638
145504,2002,23,2,2,66,0.476587904946359
145901,2008,24,2,2,65,0.15908362877823
146501,2008,23,2,1,69,-0.396270195608205
146903,2006,23,2,1,71,0.250239829406562
147001,2002,24,2,2,61,-1.30014711156026
147002,2002,22,2,1,70,-0.145004862380408
147401,2006,24,2,1,70,-0.1624455367281
147402,2008,23,2,2,66,0.476587904946359
148201,2000,24,2,1,72,0.504319552660416
148202,2002,23,2,2,70,1.78985235413188
148203,2004,24,2,2,68,1.2535066840321
148401,2006,24,2,1,69,-0.495828081422358
148902,2006,21,2,1,72,0.544454679814426
148903,2010,23,2,1,71,0.250239829406562
148904,2010,19,2,2,66,0.466215815811856
149001,2006,22,2,2,63,-0.575684740232358
149101,2004,23,2,2,68,1.13322012953912
149102,2006,23,2,2,70,1.78985235413188
149301,2006,24,2,1,68,-0.829210626116616
149302,2010,23,2,1,71,0.250239829406562
149401,2004,23,2,2,63,-0.508360431942781
149402,2008,23,2,1,72,0.573494841913946
149403,2010,24,2,1,68,-0.829210626116616
149501,2002,24,2,2,64,-0.205724056306393
149502,2006,24,2,2,64,-0.205724056306393
149801,2010,20,2,1,71,0.169303840381376
149901,2008,24,2,2,67,0.888698998947474
149902,2008,21,2,1,71,0.220360867777522
150201,2010,19,2,1,71,0.255023144487738
150202,2010,17,2,2,65,0.132011695342728
150701,2008,23,2,1,73,0.89674985442133
150702,2010,17,2,1,75,1.63735585581357
151201,2010,20,2,1,70,-0.159373996370738
151202,2010,17,2,1,71,0.342578389371036
151902,2004,20,2,2,64,-0.211825407861352
151903,2008,21,2,1,74,1.19264230388823
152201,2010,20,2,2,65,0.143987650660184
152401,2004,24,2,1,75,1.50446718674319
152402,2006,24,2,1,65,-1.82935826019939
152403,2008,24,2,1,66,-1.49597571550513
152501,2000,24,2,1,71,0.170937007966158
152503,2006,23,2,1,72,0.573494841913946
152504,2008,23,2,2,60,-1.49330876883192
152505,2010,17,2,1,66,-1.27589344368213
153201,2006,24,2,2,63,-0.570531741391015
153202,2010,19,2,1,71,0.255023144487738
153301,2008,24,2,2,61,-1.30014711156026
153302,2010,20,2,1,73,0.826659513885604
153401,2002,20,2,1,68,-0.816729669874966
153402,2010,24,2,1,67,-1.16259317081087
153801,2008,23,2,1,69,-0.396270195608205
153802,2010,17,2,2,64,-0.209997252022065
153901,2004,20,2,2,60,-1.63507764194749
153902,2010,23,2,1,68,-0.719525208115589
154101,2008,24,2,1,65,-1.82935826019939
154102,2010,24,2,1,68,-0.829210626116616
154401,2002,23,2,2,64,-0.180044319646401
154402,2004,23,2,1,66,-1.36603523313036
154403,2010,19,2,1,70,-0.0607197963066047
154602,2000,16,2,1,71,0.440733224407179
154603,2010,23,2,2,64,-0.180044319646401
154801,2002,23,2,1,70,-0.0730151831008213
154802,2008,24,2,2,64,-0.205724056306393
154901,2006,23,2,1,71,0.250239829406562
154902,2008,23,2,2,65,0.148271792649979
154903,2010,23,2,1,73,0.89674985442133
154904,2010,21,2,1,70,-0.103732944259383
155101,2004,23,2,1,75,1.5432598794361
155102,2006,24,2,2,66,0.523891313862852
155201,2002,24,2,1,67,-1.16259317081087
155301,2010,21,2,2,66,0.489423327229364
155801,2004,20,2,2,64,-0.211825407861352
155901,2000,23,2,1,67,-1.04278022062297
155902,2002,23,2,2,59,-1.8216248811283
156601,2004,24,2,2,65,0.15908362877823
156602,2004,22,2,1,74,1.17035305243433
156603,2006,23,2,1,69,-0.396270195608205
156604,2010,24,2,2,65,0.15908362877823
156605,2010,22,2,2,64,-0.211993099327904
157101,2006,23,2,1,74,1.22000486692871
157102,2010,21,2,2,66,0.489423327229364
157901,2010,17,2,2,61,-1.23602409411644
158101,2004,20,2,1,71,0.169303840381376
158301,2002,24,2,2,69,1.61831436911672
158302,2002,22,2,1,71,0.183834616323276
158401,2008,23,2,2,64,-0.180044319646401
158402,2010,22,2,1,72,0.512674095026959
158701,2010,23,2,1,72,0.573494841913946
158702,2010,19,2,2,65,0.12173132352184
159201,2010,24,2,2,66,0.523891313862852
159301,2006,21,2,2,68,1.16993278517262
159302,2010,23,2,2,66,0.476587904946359
159601,2002,23,2,2,70,1.78985235413188
159602,2004,23,2,2,69,1.4615362418355
159603,2004,22,2,2,68,1.24277346428991
159604,2008,24,2,1,72,0.504319552660416
159605,2010,23,2,2,67,0.804904017242739
159606,2010,24,2,1,75,1.50446718674319
159607,2010,23,2,1,71,0.250239829406562
159801,2010,17,2,1,70,0.0188840227604028
159901,2004,22,2,2,67,0.879081823385459
160002,2002,24,2,1,70,-0.1624455367281
160003,2004,24,2,1,78,2.50461482082596
160004,2004,23,2,2,66,0.476587904946359
160601,2010,18,2,2,68,1.19363737260506
160602,2010,16,2,1,70,0.129258968915284
160801,2000,24,2,1,71,0.170937007966158
160901,2000,24,2,1,73,0.837702097354673
160902,2004,23,2,1,72,0.573494841913946
161001,2002,24,2,2,60,-1.66495479664488
161002,2004,24,2,2,65,0.15908362877823
161601,2002,22,2,2,64,-0.211993099327904
161602,2006,24,2,1,72,0.504319552660416
161701,2006,24,2,2,62,-0.935339426475638
161702,2008,24,2,1,67,-1.16259317081087
161703,2010,23,2,1,69,-0.396270195608205
162301,2010,24,2,1,69,-0.495828081422358
162901,2008,23,2,1,74,1.22000486692871
162902,2010,21,2,1,73,0.86854849185133
163401,2010,18,2,2,59,-1.99485563643563
163802,2006,24,2,1,72,0.504319552660416
163803,2010,22,2,2,66,0.515390182481005
163804,2010,20,2,1,73,0.826659513885604
163901,2010,20,2,1,69,-0.488051833122852
163902,2010,18,2,1,71,0.239086107998289
164001,2002,17,2,2,66,0.474020642707521
164002,2010,22,2,1,66,-1.46036277719514
164201,2006,24,2,2,59,-2.0297624817295
164202,2010,24,2,1,67,-1.16259317081087
164203,2010,16,2,2,62,-0.889773376041261
164901,2008,24,2,1,69,-0.495828081422358
165001,2006,23,2,2,62,-0.836676544239161
165003,2010,18,2,1,72,0.576619436937051
165201,2010,24,2,2,62,-0.935339426475638
165501,2010,24,2,1,68,-0.829210626116616
165502,2010,21,2,2,68,1.16993278517262
165601,2010,24,2,2,64,-0.205724056306393
165602,2010,18,2,1,68,-0.773513878817999
165701,2010,18,2,1,68,-0.773513878817999
166101,2008,22,2,2,66,0.515390182481005
166201,2006,24,2,1,73,0.837702097354673
166601,2010,23,2,2,65,0.148271792649979
166602,2010,21,2,2,60,-1.5521050466004
166603,2010,20,2,2,64,-0.211825407861352
167401,2006,24,2,1,76,1.83784973143745
167402,2010,20,2,2,62,-0.923451524904423
167501,2010,18,2,1,74,1.25168609481458
167601,2010,22,2,1,67,-1.13152329849146
167602,2010,19,2,1,67,-1.00794861868963
168301,2006,23,2,1,67,-1.04278022062297
