"ID","Afqt80","Afqt89","Afqt06"
"464","85","81","79330"
"465","77","86","85844"
"466",".",".","."
"467","96","95","95508"
"468","98","93","90968"
"469","22","21","31053"
"470","9","6","11350"
"471","38","32","28506"
"472","28","31","29752"
"473",".",".","."
"474","26","30","40756"
"475","18","13","20137"
"476",".",".","."
"477","15","17","32913"
"478","54","42","51719"
"479","59","56","76189"
"480","56","57","51896"
"481","98","99","93653"
"482","83","88","77991"
"483","74","58","47109"
"484","17","15","13303"
"485","19","14","8229"
"486","30","35","50498"
"487","53","53","44363"
"488","35","48","56470"
"489","72","70","59586"
"490","21","27","30006"
"491","16","11","13761"
"492","52","53","54285"
"493","49","65","73292"
"494","84","81","83731"
"495","74","64","69070"
"496","94","87","92866"
"497","26","25","23788"
"498",".",".","."
"499","38","40","39163"
"500","63","57","64295"
"501","69","67","78966"
"502","78","70","71792"
"503","40","45","56773"
"504","11","13","19412"
"505","38","28","26498"
"506","43","42","43741"
"507","60","65","70767"
"508","25","21","23980"
"509","73","80","87400"
"510","87","77","85325"
"511","80","85","90277"
"512","49","46","47966"
"513","43","46","51831"
"514","9","7","11503"
"515","16","13","21063"
"516","4","7","5250"
"517","8","8","3292"
"518","5","7","15956"
"519","2","2","2837"
"520","22","29","26381"
"521","28","44","37473"
"522","7","10","4798"
"523","15","16","23333"
"524","42","51","49749"
"525",".",".","."
"526","22","16","13105"
"527","82","64","61184"
"528","27","22","30237"
"529",".",".","."
"530","12","8","5291"
"531","10","12","5935"
"532","10","13","13162"
"533","55","47","55185"
"534","4","4","982"
"535","27","23","33208"
"536","2","4","3052"
"537","2","4","1356"
"538","24","23","15896"
"539","93","81","85990"
"540","25","13","16138"
"541","18","16","23134"
"542",".",".","."
"543","23","25","21108"
"544","30","23","23501"
"545","63","57","54446"
"546","22","22","28073"
"547","38","46","45744"
"548","63","63","72071"
"549","42","43","42319"
"550","79","82","81039"
"551",".",".","."
"552","81","97","94578"
"553","99","99","99154"
"554","72","80","91427"
"555",".",".","."
"556","72","93","86423"
"557","99","99","99324"
"558","79","80","83317"
"559","94","95","95070"
"560","57","57","62344"
"561","73","75","76633"
"562","63","62","64432"
"563","36","42","44891"
"564","39","45","33668"
"565","44","36","35041"
"566","25","22","24660"
"567","43","51","49801"
"568","54","46","54083"
"569","85","85","87453"
"570","99","97","100000"
"571","58","58","75727"
"572",".",".","."
"573","67","66","69447"
"574","39","29","35314"
"575","99","99","99707"
"576","94","89","86676"
"577","93","97","96036"
"578","99","98","98253"
"579","75","61","72569"
"580","63","46","41508"
"581","95","92","93783"
"582","66","88","91677"
