C0000100,C0000200,HtSt,HtSt19to25,WtSt,WtSt19to25
658704,6587,-0.442877878,-0.437909649,0.021903922,0.10603057
660201,6602,-0.11318963,-0.111181095,-0.705865608,-0.744880942
660203,6602,-0.772566125,-0.764638203,-0.948455452,-0.895041798
660402,6604,0.216498618,0.215547459,-0.948455452,-0.895041798
660601,6606,-0.442877878,-0.764638203,0.62837853,0.556513136
660603,6606,-0.11318963,-0.111181095,-0.584570687,-0.51963966
664301,6643,-0.442877878,-0.111181095,0.021903922,-0.019103476
664302,6643,0.216498618,-0.437909649,-0.341980843,-0.51963966
664501,6645,1.864939857,1.849190228,-0.341980843,-0.269371568
665802,6658,0.546186866,0.542276012,0.992263295,1.107102939
666201,6662,2.194628105,2.175918782,-0.948455452,-0.895041798
667102,6671,-0.442877878,-0.437909649,-0.948455452,-0.895041798
667402,6674,-0.442877878,-0.437909649,-0.511793734,-0.444559232
667501,6675,0.216498618,0.215547459,0.870968373,0.981968893
667601,6676,-2.091319117,-2.071552418,-0.584570687,-0.769907752
667602,6676,-1.102254373,-1.418095311,-0.584570687,-0.51963966
667603,6676,-1.431942621,-1.418095311,-0.244944906,-0.169264331
669401,6694,0.216498618,-0.111181095,-1.191045295,-1.14530989
670401,6704,-0.11318963,-0.111181095,0.482824624,0.381325472
671101,6711,-1.102254373,-1.418095311,0.507083608,0.10603057
671102,6711,-1.431942621,-1.418095311,-1.38511717,-1.345524363
672201,6722,0.875875114,,-0.220685922,
673001,6730,1.205563361,1.19573312,-0.220685922,-0.144237522
673402,6734,2.194628105,2.175918782,1.234853138,1.357371031
674201,6742,-1.431942621,-1.418095311,-1.118268342,-1.070229462
674203,6742,-0.772566125,-0.764638203,-0.705865608,-0.644773706
674402,6744,-1.102254373,-1.091366757,-0.82716053,-0.769907752
674902,6749,-0.11318963,-0.111181095,-0.82716053,-0.769907752
674903,6749,-1.102254373,-1.091366757,-0.99697342,-0.945095416
674904,6749,-0.442877878,-0.437909649,-0.82716053,-0.769907752
675501,6755,-1.431942621,-1.418095311,-0.220685922,-0.144237522
675601,6756,0.216498618,0.542276012,2.205212512,0.856834847
675701,6757,0.875875114,1.19573312,0.749673452,0.581539945
675801,6758,-0.772566125,,-0.341980843,
675802,6758,-0.11318963,,-0.584570687,
676101,6761,-1.102254373,-1.091366757,0.264493765,-0.144237522
676501,6765,0.216498618,0.215547459,-0.584570687,-0.51963966
677201,6772,-0.11318963,-0.111181095,-0.099391,-0.144237522
677301,6773,-1.431942621,-1.418095311,-0.948455452,-1.14530989
677302,6773,-0.11318963,-0.111181095,0.143198843,0.231164616
677303,6773,-1.431942621,-1.418095311,-1.191045295,-1.14530989
677403,6774,0.216498618,0.215547459,-0.705865608,-0.644773706
678001,6780,-0.772566125,-0.764638203,-0.584570687,-0.51963966
