"SubjectTag","SubjectID","Generation","HeightZGenderAge","WeightZGenderAge","AfqtRescaled2006Gaussified","Afi","Afm","MathStandardized"
750601,750601,2,NA,NA,NA,NA,NA,116
750801,750801,2,1.253507,1.253507,NA,NA,NA,94.5
750802,750802,2,-0.07301518,-0.07301518,NA,NA,NA,97.5
751001,751001,2,-0.4738443,-0.4738443,NA,NA,NA,91.5
751301,751301,2,0.1904604,0.1904604,NA,NA,NA,NA
751302,751302,2,0.4407332,0.4407332,NA,NA,NA,107
751401,751401,2,1.171085,1.171085,NA,NA,NA,111.5
751402,751402,2,1.461536,1.461536,NA,NA,NA,100
751801,751801,2,0.804904,0.804904,NA,NA,NA,86
751802,751802,2,-0.6922057,-0.6922057,NA,NA,NA,97
752001,752001,2,0.5238913,0.5238913,NA,NA,NA,88.5
752002,752002,2,-1.111047,-1.111047,NA,NA,NA,90.5
752003,752003,2,-1.994856,-1.994856,NA,NA,NA,111
752401,752401,2,-1.495976,-1.495976,NA,NA,NA,79
752402,752402,2,-2.478257,-2.478257,NA,NA,NA,91
752403,752403,2,-0.2227532,-0.2227532,NA,NA,NA,75.5
752404,752404,2,-1.955177,-1.955177,NA,NA,NA,93.5
752501,752501,2,0.8266595,0.8266595,NA,NA,NA,97.5
752502,752502,2,NA,NA,NA,NA,NA,103
752701,752701,2,NA,NA,NA,NA,NA,115
752702,752702,2,NA,NA,NA,NA,NA,94
752901,752901,2,NA,NA,NA,NA,NA,90
752902,752902,2,NA,NA,NA,NA,NA,NA
752903,752903,2,NA,NA,NA,NA,NA,NA
753001,753001,2,NA,NA,NA,NA,NA,NA
753101,753101,2,NA,NA,NA,NA,NA,93.5
753102,753102,2,NA,NA,NA,NA,NA,102
753103,753103,2,NA,NA,NA,NA,NA,NA
753104,753104,2,NA,NA,NA,NA,NA,NA
753201,753201,2,NA,NA,NA,NA,NA,123
753202,753202,2,NA,NA,NA,NA,NA,131
753701,753701,2,NA,NA,NA,NA,NA,NA
753702,753702,2,NA,NA,NA,NA,NA,NA
753801,753801,2,NA,NA,NA,NA,NA,105
753802,753802,2,NA,NA,NA,NA,NA,NA
754301,754301,2,NA,NA,NA,NA,NA,96
754302,754302,2,NA,NA,NA,NA,NA,77
754801,754801,2,0.5238913,0.5238913,NA,NA,NA,78
754802,754802,2,-0.2057241,-0.2057241,NA,NA,NA,88.5
754803,754803,2,0.170937,0.170937,NA,NA,NA,89
754804,754804,2,0.1491686,0.1491686,NA,NA,NA,65
755101,755101,2,0.3425784,0.3425784,NA,NA,NA,111
755301,755301,2,NA,NA,NA,NA,NA,109
756001,756001,2,NA,NA,NA,NA,NA,86
756501,756501,2,-1.552105,-1.552105,NA,NA,NA,73
757101,757101,2,-0.8940151,-0.8940151,NA,NA,NA,105
757401,757401,2,NA,NA,NA,NA,NA,NA
757402,757402,2,NA,NA,NA,NA,NA,NA
757403,757403,2,NA,NA,NA,NA,NA,NA
757501,757501,2,-1.275893,-1.275893,NA,NA,NA,77
757502,757502,2,NA,NA,NA,NA,NA,99
757801,757801,2,0.1482718,0.1482718,NA,NA,NA,115
757802,757802,2,-0.0607198,-0.0607198,NA,NA,NA,109.5
758001,758001,2,NA,NA,NA,NA,NA,94
758101,758101,2,0.9106162,0.9106162,NA,NA,NA,114
758301,758301,2,-0.3962702,-0.3962702,NA,NA,NA,79
758302,758302,2,0.5043196,0.5043196,NA,NA,NA,81
758303,758303,2,-0.5756847,-0.5756847,NA,NA,NA,90.5
758501,758501,2,-1.493309,-1.493309,NA,NA,NA,87
758502,758502,2,NA,NA,NA,NA,NA,84
758601,758601,2,0.1482718,0.1482718,NA,NA,NA,116
758602,758602,2,NA,NA,NA,NA,NA,86.5
758701,758701,2,-1.164993,-1.164993,NA,NA,NA,105.5
758702,758702,2,NA,NA,NA,NA,NA,78
759101,759101,2,NA,NA,NA,NA,NA,NA
759501,759501,2,-1.04278,-1.04278,NA,NA,NA,NA
759502,759502,2,NA,NA,NA,NA,NA,100
759801,759801,2,0.4765879,0.4765879,NA,NA,NA,110
759802,759802,2,-0.3962702,-0.3962702,NA,NA,NA,118
760001,760001,2,NA,NA,NA,NA,NA,100
760002,760002,2,NA,NA,NA,NA,NA,122.5
760101,760101,2,0.5238913,0.5238913,NA,NA,NA,110
760102,760102,2,-0.5083604,-0.5083604,NA,NA,NA,102
760103,760103,2,-0.5777476,-0.5777476,NA,NA,NA,126
760301,760301,2,-0.4359805,-0.4359805,NA,NA,NA,124.5
760302,760302,2,NA,NA,NA,NA,NA,105
760501,760501,2,NA,NA,NA,NA,NA,NA
760502,760502,2,NA,NA,NA,NA,NA,NA
760601,760601,2,-0.5083604,-0.5083604,NA,NA,NA,87
760602,760602,2,NA,NA,NA,NA,NA,100
760701,760701,2,NA,NA,NA,NA,NA,NA
760702,760702,2,NA,NA,NA,NA,NA,NA
760901,760901,2,NA,NA,NA,NA,NA,110
760902,760902,2,NA,NA,NA,NA,NA,NA
761601,761601,2,-0.3962702,-0.3962702,NA,NA,NA,82
761602,761602,2,-1.821625,-1.821625,NA,NA,NA,80
761701,761701,2,0.5238913,0.5238913,NA,NA,NA,93
761702,761702,2,0.4894233,0.4894233,NA,NA,NA,97
761801,761801,2,-0.159374,-0.159374,NA,NA,NA,107
761802,761802,2,NA,NA,NA,NA,NA,94.5
761901,761901,2,-0.3962702,-0.3962702,NA,NA,NA,89
761902,761902,2,0.4894233,0.4894233,NA,NA,NA,95
761903,761903,2,NA,NA,NA,NA,NA,NA
762201,762201,2,0.170937,0.170937,NA,NA,NA,100
762202,762202,2,-0.2119931,-0.2119931,NA,NA,NA,102.5
762203,762203,2,0.1693038,0.1693038,NA,NA,NA,110.5
762501,762501,2,-0.1696175,-0.1696175,NA,NA,NA,107
762502,762502,2,NA,NA,NA,NA,NA,104
762503,762503,2,NA,NA,NA,NA,NA,95.5
762504,762504,2,NA,NA,NA,NA,NA,110
762601,762601,2,0.4765879,0.4765879,NA,NA,NA,90
762602,762602,2,-0.5313409,-0.5313409,NA,NA,NA,88
763201,763201,2,NA,NA,NA,NA,NA,100.5
763601,763601,2,-0.2057241,-0.2057241,NA,NA,NA,93
763602,763602,2,-0.4958281,-0.4958281,NA,NA,NA,91.5
763603,763603,2,-0.4278268,-0.4278268,NA,NA,NA,90
764201,764201,2,-1.493309,-1.493309,NA,NA,NA,102.5
764501,764501,2,0.5238913,0.5238913,NA,NA,NA,95
764502,764502,2,NA,NA,NA,NA,NA,89.5
764503,764503,2,0.5238913,0.5238913,NA,NA,NA,95
764601,764601,2,NA,NA,NA,NA,NA,75
764602,764602,2,0.1516985,0.1516985,NA,NA,NA,88
764603,764603,2,0.8556138,0.8556138,NA,NA,NA,100
764801,764801,2,0.5153902,0.5153902,NA,NA,NA,85
764802,764802,2,-1.04278,-1.04278,NA,NA,NA,92
764803,764803,2,-1.164993,-1.164993,NA,NA,NA,101.5
