"SubjectTag","ExtendedID","Generation","Gender","RaceCohort","SiblingCountInNls","BirthOrderInNls","SimilarAgeCount","HasMzPossibly","KidCountBio","KidCountInNls","Mob","LastSurveyYearCompleted","AgeAtLastSurvey","IsDead","DeathDate"
922700,9226,1,2,3,3,3,1,0,1,1,1963-11-15,1990,26.688570022583,0,NA
922701,9226,2,1,3,1,1,1,0,0,NA,1987-05-15,1988,1.19096505641937,0,NA
922800,9226,1,2,3,3,1,1,0,2,2,1961-07-15,1990,29.0239562988281,0,NA
922801,9226,2,1,3,2,1,1,0,0,NA,1977-11-15,1986,8.29842567443848,0,NA
922802,9226,2,1,3,2,2,1,0,0,NA,1983-06-15,1988,5.16084861755371,0,NA
922900,9229,1,2,1,1,1,1,0,3,3,1964-08-15,2010,45.3908271789551,0,NA
922901,9229,2,2,1,3,1,1,0,1,NA,1987-06-15,2010,22.967830657959,0,NA
922902,9229,2,2,1,3,2,1,0,0,NA,1997-07-15,2008,11.0171117782593,0,NA
922903,9229,2,1,1,3,3,1,0,0,NA,2002-07-15,2008,6.0177960395813,0,NA
923000,9230,1,1,2,1,1,1,0,2,0,1961-08-15,2010,48.4407920837402,0,NA
923100,9231,1,2,3,1,1,1,0,2,2,1963-06-15,1990,27.3210124969482,0,NA
923101,9231,2,1,3,2,1,1,0,0,NA,1986-12-15,1988,1.61806976795197,0,NA
923102,9231,2,2,3,2,2,1,0,0,NA,1988-03-15,1988,0.369609862565994,0,NA
923200,9232,1,1,1,3,1,1,0,4,0,1959-06-15,2010,50.6940460205078,0,NA
923300,9232,1,2,1,3,2,1,0,3,3,1961-08-15,2010,48.4024658203125,0,NA
923301,9232,2,1,1,3,1,1,0,0,NA,1980-03-15,2010,29.897331237793,0,NA
923302,9232,2,1,1,3,2,2,1,1,NA,1982-09-15,2010,27.4332656860352,0,NA
923303,9232,2,1,1,3,2,2,1,0,NA,1982-09-15,2010,27.4743328094482,0,NA
923400,9232,1,2,1,3,3,1,0,2,2,1963-12-15,2010,46.9103355407715,0,NA
923401,9232,2,2,1,2,1,1,0,NA,NA,1981-09-15,2004,22.9979457855225,0,NA
923402,9232,2,2,1,2,2,1,0,NA,NA,1987-01-15,2010,23.8247776031494,0,NA
923500,9235,1,1,3,2,1,1,0,1,0,1961-03-15,1990,29.3223819732666,0,NA
923600,9235,1,2,3,2,2,1,0,1,1,1962-04-15,1990,28.2546195983887,0,NA
923601,9235,2,1,3,1,1,1,0,0,NA,1984-03-15,1988,4.35592079162598,0,NA
923700,9237,1,1,2,1,1,1,0,3,0,1962-11-15,2010,47.3757705688477,0,NA
923800,9238,1,2,3,4,1,1,0,2,2,1957-08-15,1990,32.9390830993652,0,NA
923801,9238,2,2,3,2,1,1,0,0,NA,1983-09-15,1988,4.90622854232788,0,NA
923802,9238,2,1,3,2,2,1,0,0,NA,1987-08-15,1988,0.991101980209351,0,NA
923900,9238,1,2,3,4,2,1,0,2,2,1959-01-15,1990,31.644079208374,0,NA
923901,9238,2,1,3,2,1,1,0,0,NA,1987-02-15,1988,1.46201229095459,0,NA
923902,9238,2,1,3,2,2,1,0,NA,NA,1989-10-15,NA,NA,0,NA
924000,9238,1,2,3,4,3,1,0,0,0,1962-06-15,1990,28.2381935119629,0,NA
924100,9238,1,1,3,4,4,1,0,0,0,1964-11-15,1990,25.6700897216797,0,NA
924200,9242,1,1,3,1,1,1,0,2,0,1964-02-15,1990,26.4284744262695,0,NA
924300,9243,1,2,3,1,1,1,0,1,1,1959-04-15,1990,31.4496917724609,0,NA
924301,9243,2,1,3,1,1,1,0,0,NA,1988-06-15,1988,0.0793976709246635,0,NA
924400,9244,1,2,3,1,1,1,0,2,2,1958-10-15,1990,31.7782344818115,0,NA
924401,9244,2,1,3,2,1,1,0,0,NA,1978-06-15,1988,10.0835046768188,0,NA
924402,9244,2,1,3,2,2,1,0,0,NA,1983-04-15,1988,5.3196439743042,0,NA
924500,9245,1,1,3,2,1,1,0,1,0,1959-03-15,1990,31.6002731323242,0,NA
924600,9245,1,2,3,2,2,1,0,2,2,1963-05-15,1990,27.323751449585,0,NA
924601,9245,2,1,3,2,1,1,0,0,NA,1986-02-15,1988,2.55441474914551,0,NA
924602,9245,2,2,3,2,2,1,0,NA,NA,1990-02-15,NA,NA,0,NA
924700,9247,1,1,3,1,1,1,0,2,0,1963-08-15,1990,27.1101989746094,0,NA
924800,9248,1,2,3,1,1,1,0,2,2,1961-05-15,1990,29.2566738128662,0,NA
924801,9248,2,1,3,2,1,1,0,0,NA,1983-01-15,1988,5.59069108963013,0,NA
924802,9248,2,2,3,2,2,1,0,NA,NA,1989-08-15,NA,NA,0,NA
924900,9249,1,2,3,2,1,1,0,1,1,1962-03-15,1990,28.470911026001,0,NA
924901,9249,2,2,3,1,1,1,0,0,NA,1985-02-15,1988,3.44695425033569,0,NA
925000,9249,1,1,3,2,2,1,0,2,0,1965-06-15,1990,25.3689250946045,0,NA
925100,9251,1,1,3,1,1,1,0,1,0,1962-10-15,1990,27.720739364624,0,NA
925200,9252,1,2,3,1,1,1,0,2,2,1960-03-15,1990,30.3490753173828,0,NA
925201,9252,2,2,3,2,1,1,0,0,NA,1979-03-15,1988,9.4154691696167,0,NA
925202,9252,2,2,3,2,2,1,0,0,NA,1982-09-15,1988,5.91101980209351,0,NA
925300,9253,1,1,1,2,1,1,0,3,0,1962-10-15,2008,45.8699531555176,0,NA
925400,9253,1,2,1,2,2,1,0,0,0,1964-02-15,2000,36.8158798217773,0,NA
925500,9255,1,2,1,2,1,1,0,4,4,1959-11-15,2010,50.2368240356445,0,NA
925501,9255,2,2,1,4,1,1,0,3,NA,1976-07-15,2010,33.6235466003418,0,NA
925502,9255,2,1,1,4,2,1,0,1,NA,1981-11-15,2010,28.3641338348389,0,NA
925503,9255,2,2,1,4,3,1,0,1,NA,1984-03-15,2010,25.9028072357178,0,NA
925504,9255,2,2,1,4,4,1,0,0,NA,1987-03-15,2010,22.9842567443848,0,NA
925600,9255,1,2,1,2,2,1,0,2,2,1962-04-15,2010,47.8329925537109,0,NA
925601,9255,2,1,1,2,1,1,0,0,NA,1986-06-15,2010,23.8548946380615,0,NA
925602,9255,2,1,1,2,2,1,0,0,NA,1997-10-15,2008,10.7542781829834,0,NA
925700,9257,1,2,1,1,1,1,0,3,3,1959-08-15,2004,44.9390830993652,0,NA
925701,9257,2,1,1,3,1,1,0,NA,NA,1979-06-15,2006,26.776180267334,0,NA
925702,9257,2,1,1,3,2,1,0,NA,NA,1982-01-15,2004,22.7104721069336,0,NA
925703,9257,2,2,1,3,3,1,0,NA,NA,1984-09-15,2010,26.1081447601318,0,NA
925800,9258,1,1,1,1,1,1,0,2,0,1957-11-15,2010,52.5722122192383,0,NA
925900,9259,1,2,1,1,1,1,0,2,2,1958-02-15,2008,50.3983573913574,0,NA
925901,9259,2,1,1,2,1,1,0,0,NA,1975-11-15,2008,32.6050643920898,0,NA
925902,9259,2,2,1,2,2,1,0,1,NA,1978-02-15,2008,30.0232715606689,0,NA
926000,9260,1,2,1,1,1,1,0,2,2,1959-12-15,2006,46.6173858642578,0,NA
926001,9260,2,2,1,2,1,1,0,2,NA,1978-09-15,2008,29.4976043701172,0,NA
926002,9260,2,1,1,2,2,1,0,0,NA,1993-08-15,2006,13.070499420166,0,NA
926100,9261,1,2,1,2,1,1,0,2,2,1961-03-15,2010,49.3305969238281,0,NA
926101,9261,2,1,1,2,1,1,0,0,NA,1979-04-15,2008,29.338809967041,0,NA
926102,9261,2,2,1,2,2,1,0,5,NA,1980-09-15,2010,29.2156066894531,0,NA
926200,9261,1,2,1,2,2,1,0,1,1,1962-05-15,2000,38.447639465332,0,NA
