ExtendedID,SubjectTag_S1,SubjectTag_S2,R,RelationshipPath
78,7800,7801,0.5,ParentChild
78,7800,7802,0.5,ParentChild
78,7800,7803,0.5,ParentChild
78,7800,7804,0.5,ParentChild
78,7800,7900,0.5,Gen1Housemates
78,7801,7802,0.5,Gen2Siblings
78,7801,7803,0.5,Gen2Siblings
78,7801,7804,0.5,Gen2Siblings
78,7801,7900,0.25,AuntNiece
78,7802,7803,0.5,Gen2Siblings
78,7802,7804,0.5,Gen2Siblings
78,7802,7900,0.25,AuntNiece
78,7803,7804,0.5,Gen2Siblings
78,7803,7900,0.25,AuntNiece
78,7804,7900,0.25,AuntNiece
80,8000,8100,0.5,Gen1Housemates
83,8300,8400,0.5,Gen1Housemates
85,8500,8600,0.5,Gen1Housemates
85,8500,8601,0.25,AuntNiece
85,8500,8700,0.5,Gen1Housemates
85,8600,8601,0.5,ParentChild
85,8600,8700,0.5,Gen1Housemates
85,8601,8700,0.25,AuntNiece
89,8900,8901,0.5,ParentChild
90,9000,9100,0.5,Gen1Housemates
90,9000,9101,0.25,AuntNiece
90,9000,9102,0.25,AuntNiece
90,9100,9101,0.5,ParentChild
90,9100,9102,0.5,ParentChild
90,9101,9102,0.5,Gen2Siblings
92,9200,9201,0.5,ParentChild
92,9200,9202,0.5,ParentChild
92,9201,9202,0.5,Gen2Siblings
94,9400,9500,0.5,Gen1Housemates
94,9400,9501,0.25,AuntNiece
94,9400,9502,0.25,AuntNiece
94,9400,9503,0.25,AuntNiece
94,9500,9501,0.5,ParentChild
94,9500,9502,0.5,ParentChild
94,9500,9503,0.5,ParentChild
94,9501,9502,0.5,Gen2Siblings
94,9501,9503,0.5,Gen2Siblings
94,9502,9503,0.5,Gen2Siblings
96,9600,9601,0.5,ParentChild
96,9600,9602,0.5,ParentChild
96,9600,9603,0.5,ParentChild
96,9600,1175100,.,Gen1Housemates
96,9601,9602,0.5,Gen2Siblings
96,9601,9603,0.25,Gen2Siblings
96,9601,1175100,.,AuntNiece
96,9602,9603,0.25,Gen2Siblings
