"R0000100","R0214700","R0214800","R9908100","R9908200","R9908300","R9908600","R9909700","R9909800","R9910400"
6477,2,1,26,26,27,-3,-999,-999,-4
6478,2,1,27,-997,-997,36,105,0,-4
6479,2,1,31,33,-996,-999,-997,-997,-4
6480,2,1,19,-997,-997,35,182,0,-4
6481,2,2,20,33,-996,27,85,0,1
6482,2,2,18,19,25,41,272,0,1
6483,2,2,22,-997,-997,-999,-997,-997,0
6484,2,1,42,-997,-997,-999,-997,-997,-4
6485,2,2,28,-997,-997,27,11,1,0
6486,2,2,18,23,-996,17,2,1,0
6487,3,2,18,22,24,17,10,1,0
6488,2,1,27,32,-996,26,23,1,-4
6489,2,2,22,-997,-997,22,5,1,0
6490,2,1,-3,-997,-997,-999,-997,-997,-4
6491,2,1,27,-997,-997,-999,-997,-997,-4
6492,2,1,20,26,-996,25,61,0,-4
6493,2,1,-998,-998,-998,-999,-998,-998,-4
6494,2,1,21,-997,-997,18,26,1,-4
6495,2,1,23,-997,-997,22,10,1,-4
6496,2,1,-998,-998,-998,-999,-998,-998,-4
6497,2,1,31,38,-996,28,37,1,-4
6498,2,1,-998,-998,-998,-999,-998,-998,-4
6499,2,1,18,29,32,31,148,0,-4
6500,2,1,25,-997,-997,-999,-997,-997,-4
6501,2,1,18,30,32,28,128,0,-4
6502,3,2,22,-997,-997,19,30,1,0
6503,2,2,-998,-998,-998,-999,-998,-998,0
6504,2,1,-998,-998,-998,-999,-998,-998,-4
6505,2,2,-998,-998,-998,24,-998,-998,0
6506,2,1,-998,-998,-998,-999,-998,-998,-4
6507,2,1,-998,-998,-998,-999,-998,-998,-4
6508,2,1,29,30,32,22,89,1,-4
6509,3,1,-998,-998,-998,-999,-998,-998,-4
6510,2,2,-998,-998,-998,21,-998,-998,0
6511,2,1,22,23,-996,22,2,0,-4
6512,3,2,19,21,29,17,25,1,1
6513,2,2,27,30,-996,24,33,1,0
6514,2,1,27,-997,-997,27,0,1,-4
6515,2,2,32,35,-996,26,64,1,0
6516,2,2,20,22,23,21,11,0,0
6517,2,1,28,38,-996,26,23,1,-4
6518,2,1,-998,-998,-998,-999,-998,-998,-4
6519,3,2,-998,-998,-998,21,-998,-998,0
6520,3,2,18,25,-996,17,21,1,0
6521,3,2,21,28,30,20,8,1,1
6522,3,2,16,18,21,15,5,1,0
6523,3,2,15,18,19,15,10,1,3
6524,3,2,27,29,-996,24,25,1,0
6525,3,2,17,22,24,17,2,1,0
6526,3,2,19,20,23,20,12,0,0
6527,3,1,24,-997,-997,21,28,1,-4
6528,3,1,-998,-998,-998,22,-998,-998,-4
6529,3,2,-998,-998,-998,27,-998,-998,0
6530,3,1,22,24,-996,20,17,1,-4
6531,3,1,22,23,26,21,20,1,-4
6532,3,2,18,19,20,19,14,0,0
6533,3,2,-998,-998,-998,20,-998,-998,0
6534,3,2,23,-997,-997,18,69,1,0
6535,3,1,-998,-998,-998,19,-998,-998,-4
6536,3,2,17,18,-996,16,12,1,2
6537,3,1,23,-997,-997,21,35,1,-4
6538,3,2,17,19,19,17,7,1,0
6539,3,2,30,-997,-997,20,116,1,0
6540,3,2,27,-997,-997,22,64,1,1
6541,3,2,25,-997,-997,22,41,1,0
6542,3,1,-998,-998,-998,28,-998,-998,-4
6543,3,2,25,-997,-997,24,7,1,0
6544,3,1,23,-997,-997,22,10,1,-4
6545,3,2,-998,-998,-998,23,-998,-998,0
6546,3,1,28,30,-996,25,38,1,-4
6547,3,1,-998,-998,-998,-999,-998,-998,-4
6548,3,2,18,-997,-997,17,6,1,1
6549,3,2,26,-997,-997,26,7,1,0
6550,3,1,27,-997,-997,25,21,1,-4
6551,3,1,25,-997,-997,-3,-999,-999,-4
6552,3,2,27,-997,-997,-999,-997,-997,0
6553,3,1,21,-997,-997,17,54,1,-4
6554,3,2,17,-997,-997,16,12,1,0
6555,2,2,19,-997,-997,-999,-997,-997,0
6556,3,2,22,27,30,22,6,1,0
6557,3,1,-998,-998,-998,28,-998,-998,-4
6558,3,1,29,32,-996,24,60,1,-4
6559,3,1,29,-997,-997,23,76,1,-4
6560,3,1,25,28,31,23,23,1,-4
6561,3,1,29,31,-996,26,31,1,-4
6562,3,1,24,25,-996,23,7,1,-4
6563,3,2,24,28,-996,23,16,1,1
6564,3,2,-998,-998,-998,-999,-998,-998,0
6565,3,2,-998,-998,-998,-999,-998,-998,0
6566,3,2,-998,-998,-998,22,-998,-998,0
6567,3,2,27,-997,-997,22,51,1,0
6568,3,2,26,29,-996,23,31,1,0
6569,3,1,-998,-998,-998,27,-998,-998,-4
6570,3,1,-998,-998,-998,-999,-998,-998,-4
