"","Subject1Tag","Subject2Tag","ExtendedID","R","RelationshipPath","Intell_1","Strength_1","Orientation_1","Intell_2","Strength_2","Orientation_2"
"4763",1013700,1013800,10137,0.375,1,14.767,0.6871693869,-1,9.338,0.1310922787,1
"4764",1013700,1013900,10137,0.375,1,14.767,0.6871693869,-1,25.742,0.6871693869,-1
"4765",1013800,1013900,10137,0.5,1,9.338,0.1310922787,1,25.742,0.6871693869,-1
"4766",1014100,1014200,10141,NA,1,9.029,NA,NA,10.928,NA,NA
"4767",1014400,1014500,10144,NA,1,44.101,NA,NA,44.359,NA,NA
"4768",1014500,1014600,10144,NA,1,44.359,NA,NA,35.334,NA,NA
"4769",1014400,1014600,10144,NA,1,44.101,NA,NA,35.334,NA,NA
"4770",1014900,1015000,10149,NA,1,38.129,NA,NA,1.664,NA,NA
"4771",1015300,1015400,10153,0.5,1,74.063,0.2874462527,-1,10.508,0.965207941,-1
"4772",1015500,1015600,10155,NA,1,19.802,0.965207941,-1,23.17,NA,NA
"4773",1015700,1015800,10157,0.5,1,4.429,0.2583449713,0,25.815,0.1514597088,-1
"4774",1016000,1016100,10160,0.5,1,3.052,-0.992828522,0,76.273,0.965207941,-1
"4775",1016000,1016200,10160,0.5,1,3.052,-0.992828522,0,45.526,0.965207941,-1
"4776",1016100,1016200,10160,0.5,1,76.273,0.965207941,-1,45.526,0.965207941,-1
"4777",1016400,1016500,10164,NA,1,11.622,0.6871693869,-1,4.472,-0.545219546,0
"4778",1016700,1016800,10167,0.5,1,33.848,-0.992828522,-1,6.406,NA,NA
"4779",1016700,1016900,10167,0.5,1,33.848,-0.992828522,-1,25.274,0.6871693869,-1
"4780",1016800,1016900,10167,0.5,1,6.406,NA,NA,25.274,0.6871693869,-1
"4781",1016800,1017000,10167,0.5,1,6.406,NA,NA,37.627,0.4498656931,-1
"4782",1016900,1017000,10167,0.5,1,25.274,0.6871693869,-1,37.627,0.4498656931,-1
"4783",1016700,1017000,10167,0.5,1,33.848,-0.992828522,-1,37.627,0.4498656931,-1
"4784",1017800,1017900,10178,0.5,1,5.075,-1.796393039,0,3.567,-0.15871286,0
"4785",1017900,1018000,10178,0.5,1,3.567,-0.15871286,0,2.116,-1.796393039,0
"4786",1017800,1018000,10178,0.5,1,5.075,-1.796393039,0,2.116,-1.796393039,0
"4787",1018600,1018700,10186,0.5,1,77.168,0.6871693869,-1,10.379,-0.363882539,-1
"4788",1019300,1019400,10193,0.25,1,15.22,-0.268630856,-1,21.485,NA,NA
"4789",1019500,1019600,10195,0.5,1,68.705,0.6871693869,-1,65.468,0.6871693869,-1
"4790",1020000,1020100,10200,NA,1,2.884,-1.041644227,-1,4.087,-0.15871286,0
"4791",1020000,1020200,10200,NA,1,2.884,-1.041644227,-1,30.907,0.1310922787,-1
